L,a,b,Label
91,132,133,4284
88,134,131,4284
92,132,132,4284
92,133,130,4284
87,139,126,4284
89,138,126,4284
92,132,130,4284
91,131,132,4284
87,135,129,4284
84,140,125,4284
87,145,117,4284
91,152,108,4284
84,161,102,4284
81,164,100,4284
81,164,101,4284
79,163,103,4284
74,165,102,4284
74,167,101,4284
76,166,100,4284
78,167,98,4284
83,170,93,4284
84,172,92,4284
84,174,92,4284
85,175,94,4284
85,176,97,4284
86,176,102,4284
86,176,105,4284
85,176,109,4284
80,173,110,4284
76,173,106,4284
79,173,97,4284
76,170,97,4284
87,129,137,4284
88,126,139,4284
87,125,138,4284
87,125,138,4284
86,126,137,4284
84,127,137,4284
86,127,138,4284
99,118,142,4284
95,121,141,4284
94,121,141,4284
98,123,138,4284
104,119,140,4284
104,120,139,4284
106,118,138,4284
101,122,136,4284
109,118,137,4284
96,126,132,4284
92,127,133,4284
94,124,132,4284
80,142,120,4284
74,155,112,4284
79,151,112,4284
87,143,115,4284
86,145,115,4284
80,151,111,4284
79,150,113,4284
74,152,113,4284
70,153,113,4284
68,145,122,4284
80,135,128,4284
87,135,125,4284
88,137,122,4284
87,151,108,4284
78,168,97,4284
78,170,96,4284
75,169,100,4284
62,163,114,4284
58,156,124,4284
61,154,125,4284
82,142,128,4284
89,137,129,4284
87,131,134,4284
92,123,139,4284
90,121,140,4284
81,132,132,4284
65,149,121,4284
71,160,106,4284
75,171,96,4284
76,173,96,4284
78,174,96,4284
79,175,96,4284
81,176,96,4284
81,176,98,4284
82,176,102,4284
82,176,105,4284
81,176,109,4284
78,174,111,4284
75,173,109,4284
75,173,104,4284
79,174,97,4284
79,172,95,4284
76,170,98,4284
66,165,109,4284
62,160,119,4284
57,157,123,4284
63,153,126,4284
76,149,124,4284
89,139,127,4284
89,137,128,4284
87,134,131,4284
96,135,125,4284
98,136,121,4284
88,134,125,4284
90,132,126,4284
89,133,126,4284
88,134,125,4284
90,131,127,4284
88,133,125,4284
87,135,124,4284
90,132,126,4284
94,132,125,4284
98,127,128,4284
97,128,129,4284
98,127,128,4284
89,136,122,4284
88,130,129,4284
74,128,138,4284
71,126,140,4284
75,127,136,4284
67,151,116,4284
73,155,112,4284
79,149,116,4284
63,150,121,4284
63,152,123,4284
60,156,123,4284
68,167,118,4284
70,167,116,4284
69,163,119,4284
67,163,119,4284
66,157,121,4284
73,145,128,4284
78,140,130,4284
75,138,130,4284
78,130,135,4284
74,134,127,4284
161,109,125,4284
137,126,118,4284
128,133,113,4284
121,141,106,4284
120,136,107,4284
111,141,104,4284
117,135,105,4284
120,131,107,4284
102,144,99,4284
73,130,131,4284
69,134,136,4284
63,152,125,4284
62,154,124,4284
60,156,122,4284
61,155,123,4284
63,152,125,4284
63,147,128,4284
69,140,130,4284
80,139,120,4284
123,129,110,4284
124,133,107,4284
117,140,104,4284
110,147,101,4284
106,151,100,4284
97,154,102,4284
92,158,100,4284
103,147,104,4284
110,140,104,4284
101,142,104,4284
65,157,112,4284
63,162,109,4284
63,161,110,4284
59,156,117,4284
55,153,122,4284
55,148,127,4284
80,125,140,4284
65,158,111,4284
71,167,107,4284
75,164,107,4284
76,164,107,4284
73,164,110,4284
78,155,115,4284
75,142,125,4284
58,146,126,4284
54,149,127,4284
55,158,119,4284
57,161,115,4284
63,165,108,4284
64,163,109,4284
65,164,108,4284
69,165,104,4284
80,173,94,4284
84,175,93,4284
85,175,94,4284
83,173,97,4284
82,170,100,4284
80,170,102,4284
74,165,108,4284
70,163,111,4284
68,164,110,4284
71,165,106,4284
72,167,102,4284
74,171,97,4284
77,174,94,4284
79,175,95,4284
79,175,96,4284
79,175,97,4284
79,175,95,4284
76,172,91,4284
100,146,100,4284
107,140,103,4284
96,145,101,4284
105,137,108,4284
79,160,95,4284
86,157,97,4284
88,156,97,4284
78,173,98,4284
78,173,97,4284
78,173,97,4284
78,173,97,4284
78,173,97,4284
78,173,97,4284
78,173,96,4284
79,173,95,4284
80,174,93,4284
78,173,93,4284
77,172,93,4284
71,171,93,4284
41,160,116,4284
38,154,121,4284
54,161,112,4284
63,162,112,4284
59,162,113,4284
69,167,110,4284
68,165,113,4284
74,167,107,4284
73,168,109,4284
76,168,106,4284
67,148,124,4284
63,158,118,4284
87,164,103,4284
85,150,116,4284
72,163,108,4284
85,159,108,4284
102,142,113,4284
89,136,121,4284
73,153,113,4284
77,150,115,4284
84,142,119,4284
83,149,113,4284
91,141,119,4284
84,150,112,4284
86,150,110,4284
89,141,118,4284
74,155,110,4284
73,156,110,4284
73,155,111,4284
72,158,108,4284
77,152,111,4284
67,164,104,4284
67,167,104,4284
67,167,108,4284
71,161,107,4284
78,145,120,4284
71,162,107,4284
73,169,105,4284
75,170,107,4284
76,170,108,4284
85,175,111,4284
84,175,119,4284
74,172,121,4284
71,171,118,4284
65,168,114,4284
66,162,105,4284
70,159,107,4284
69,166,102,4284
57,161,114,4284
68,167,103,4284
63,164,108,4284
63,164,108,4284
67,167,104,4284
71,169,102,4284
73,170,99,4284
75,171,97,4284
72,169,100,4284
72,170,102,4284
73,170,103,4284
75,172,103,4284
81,174,109,4284
76,173,121,4284
76,173,122,4284
71,172,123,4284
70,172,121,4284
75,174,118,4284
75,174,113,4284
70,172,112,4284
66,171,107,4284
60,168,110,4284
71,171,102,4284
66,167,108,4284
73,170,102,4284
69,169,105,4284
70,171,110,4284
74,176,111,4284
73,174,113,4284
73,175,116,4284
76,179,113,4284
56,168,120,4284
63,171,114,4284
60,169,116,4284
62,167,110,4284
104,145,103,4284
94,146,110,4284
78,124,139,4284
94,145,110,4284
91,155,104,4284
110,130,124,4284
109,131,120,4284
105,132,122,4284
106,131,122,4284
101,134,119,4284
95,143,115,4284
100,140,115,4284
97,139,118,4284
103,132,120,4284
104,131,121,4284
104,132,121,4284
105,130,122,4284
103,131,120,4284
101,132,119,4284
133,129,125,4284
136,129,125,4284
115,140,119,4284
101,147,114,4284
110,136,120,4284
112,131,123,4284
112,130,123,4284
110,131,122,4284
86,134,120,4284
76,147,112,4284
77,157,106,4284
91,139,117,4284
85,146,112,4284
89,143,114,4284
89,145,112,4284
90,143,112,4284
97,141,112,4284
104,137,112,4284
98,140,113,4284
96,144,111,4284
93,149,109,4284
86,149,111,4284
90,138,121,4284
103,126,130,4284
106,120,136,4284
86,139,123,4284
90,134,125,4284
89,136,121,4284
87,139,118,4284
81,146,114,4284
79,149,113,4284
116,134,124,4284
128,135,124,4284
145,121,129,4284
118,139,120,4284
112,139,119,4284
97,140,116,4284
84,139,118,4284
83,141,116,4284
87,154,103,4284
84,160,101,4284
79,138,123,4284
80,124,141,4284
80,135,133,4284
87,141,123,4284
85,150,116,4284
84,154,112,4284
86,146,117,4284
92,144,117,4284
92,149,112,4284
93,138,123,4284
98,128,130,4284
76,171,111,4284
101,164,116,4284
89,162,115,4284
81,160,116,4284
79,153,121,4284
97,127,137,4284
104,122,138,4284
108,122,136,4284
98,139,120,4284
101,139,117,4284
