L,a,b,std_L,std_a,std_b,Label
139.92680000000001,128.11360000000002,129.74370000000002,15.991867988449565,3.029273021699372,16.012158202753213,4284
139.715,128.1312,129.7823,15.962693225142145,3.0014640694161616,15.95298425718526,4284
139.5679,128.0577,130.0574,15.902546638510438,2.9353995826798736,15.704263919076293,4284
139.6904,128.12900000000002,129.8702,15.92514200376241,2.969134385641267,15.81055191826004,4284
139.6678,128.0727,130.0979,15.973742302917078,2.999769109448083,15.908969658340505,4284
139.7674,128.1284,129.9245,16.10598327454723,3.0749168183869573,16.206221020028103,4284
139.0458,127.95190000000001,130.823,15.97941495674964,2.8206712658510984,15.56891361013986,4284
138.8056,127.81200000000001,131.22220000000002,14.756619146674574,2.5238177430228834,14.14952391990612,4284
138.4494,127.29650000000001,132.5602,13.569879868296617,2.254415168064395,12.208430528122747,4284
141.3056,127.4933,130.0871,12.512338256297257,2.0502085528061267,10.809316055607061,4284
143.78470000000002,127.9817,127.0092,11.46640073911584,2.437860765097206,11.743437118663284,4284
143.7931,128.3463,125.8147,12.312314664188767,2.7353201476241447,12.835301473280687,4284
143.1345,128.024,127.5391,13.09643500155674,2.552415326705605,12.506952913879461,4284
144.1783,128.4957,126.5609,12.668082298043243,2.495912961222921,12.205830213057986,4284
144.4202,128.5757,126.91470000000001,12.657370657447103,2.577609262474718,12.679882645750256,4284
144.10330000000002,128.5234,127.98750000000001,12.08040682717239,2.3011850077726175,11.196773809897087,4284
142.2956,128.4187,130.3825,12.987587175453356,2.0431324749021003,10.844887908595622,4284
139.5206,128.4501,132.2021,14.556688347285544,2.0690843361261844,11.497871785247977,4284
135.8406,128.78990000000002,133.9456,17.902183990787293,1.9040898061800877,11.132683442907949,4284
127.25420000000001,131.5805,132.6108,23.580915638710888,2.007615438773568,12.389072740120595,4284
127.26280000000001,135.61960000000002,130.6584,25.68828791803759,1.9872332122815122,13.156394241584549,4284
138.23770000000002,141.4824,124.9715,13.298428430081312,1.9220016233079336,11.275650214067419,4284
136.8877,153.6506,126.3842,8.569030791752665,1.4129117594535705,7.6821865611294475,4284
132.7212,160.0255,128.321,10.695871659663865,1.7327578451720616,7.735551628681825,4284
126.83510000000001,163.17360000000002,132.6442,14.360595669748436,2.3962184875330594,9.226559833437173,4284
126.34100000000001,163.3714,132.487,15.465171159738244,2.600050391819935,9.896627253766866,4284
123.04610000000001,162.0216,133.5593,18.037238557772607,3.0541010854257364,10.90746916154228,4284
121.34700000000001,161.7144,133.79590000000002,18.84232445851627,3.0818878370239857,11.0990469496256,4284
114.20920000000001,160.17100000000002,134.9701,20.95524362444872,3.326373250252764,11.439231005185663,4284
113.9269,159.7153,134.7747,20.254302169909455,3.161146296835598,11.303492376694992,4284
114.5639,159.0429,134.1505,19.82116840123203,3.1047479108619966,11.772741811065206,4284
119.2091,156.0839,129.5883,16.98860139004976,2.5609491970755385,11.189101979605088,4284
120.6954,153.3894,126.9762,16.547193684730942,2.364649580805501,10.714991066725137,4284
124.99380000000001,146.5411,123.9863,19.882966618691448,1.913925492280025,10.617716906661222,4284
132.9959,137.77700000000002,126.566,12.22464245653018,1.5299251615677514,8.962379371573224,4284
127.87150000000001,135.29410000000001,130.6516,18.08909582455681,1.632055510696556,11.452686036035308,4284
123.9881,139.2487,132.30280000000002,20.586033090180347,1.7949507820541648,11.960213717153806,4284
125.05730000000001,143.27370000000002,133.952,17.0233902824907,1.718018716427651,10.59794772585709,4284
125.2141,145.9151,134.8496,14.847560782498931,1.7101730877321568,10.576955130849235,4284
123.8266,148.1336,135.3818,14.279934609093981,1.8591802064347838,10.975264405015515,4284
118.96100000000001,147.69480000000001,135.84040000000002,17.27983446101257,1.8371861527877689,10.992630615098246,4284
125.0738,146.7644,131.6243,18.25372711420875,1.9670009252679483,11.652173595943442,4284
131.91400000000002,146.0517,128.09550000000002,14.405860057629248,2.1212324507226885,12.461957300119233,4284
133.4829,145.4708,126.9205,12.959209373646175,2.390595607793218,14.008146906354172,4284
133.3757,144.6748,125.4855,13.90228576565747,2.306652327507674,13.39187775295159,4284
132.1739,143.27110000000002,127.00930000000001,14.34690415350983,2.069397204500813,11.82485575007145,4284
131.82670000000002,143.2786,127.38170000000001,14.53381804998248,1.9798944517319637,11.17525861490458,4284
130.7212,145.913,126.75120000000001,13.3591867477028,1.7256393018241531,9.42586327929689,4284
128.2654,146.4325,127.95800000000001,15.824012223200604,2.0225339922972814,11.293814059032293,4284
123.6345,148.91140000000001,129.8993,16.62487623262201,1.7487567126380645,9.131908864525291,4284
119.0969,152.15200000000002,132.8461,19.276439255993303,2.0932978765563495,9.557552761559753,4284
118.08000000000001,153.2238,133.6261,18.81800201934299,2.1744685695583947,9.807777464339123,4284
118.21220000000001,155.3159,135.3838,17.8213234963063,2.29371035442559,10.292205670311816,4284
116.66430000000001,157.9536,138.346,15.998218823043969,2.3590775824473194,10.164265049672782,4284
115.4856,160.4916,139.7064,17.653871888058994,2.7790878791429683,9.559403696883988,4284
117.9227,162.7096,139.7722,16.301598839070945,2.7032698422471584,8.791991080523484,4284
117.6177,163.1916,138.114,16.42142340694014,2.878383129467567,9.77640036005068,4284
121.4709,164.7527,135.1553,13.86868246049351,2.5961014444740846,8.95767726087512,4284
119.8234,163.35060000000001,134.1122,12.543014487753696,2.250173246662358,8.169994563033885,4284
118.37320000000001,161.8415,132.32070000000002,13.037258981856489,2.312526270122083,7.879990578039796,4284
116.39460000000001,160.75910000000002,132.7181,13.666392751563851,2.3845475860204197,9.260671271025886,4284
115.93900000000001,160.91670000000002,132.9172,13.87151321954454,2.3782264631432133,9.281430070845655,4284
116.8491,161.0743,132.3478,13.651905698106683,2.472686698715541,8.530289277627125,4284
118.1704,160.9302,131.7589,14.366703304516282,2.4016927280558793,8.394127160699632,4284
117.24390000000001,159.8342,132.04160000000002,16.12690958584434,2.619906555584803,10.19399183048502,4284
116.6735,158.5377,132.6699,16.72859521149344,2.6090570538034634,10.844479424573391,4284
108.2206,152.9078,137.523,21.618828267045366,2.596401193959792,12.284195985086068,4284
103.38820000000001,150.10070000000002,139.7219,23.562175212827825,2.477652015516908,13.19292084377065,4284
94.9402,144.4169,142.0642,29.365258792661773,2.1069633100749603,14.054454039912118,4284
93.46950000000001,139.6009,140.7124,32.950612585352616,1.9711974000594936,14.609828412407904,4284
97.0959,136.428,138.9361,35.197970157240626,2.1332172885105836,15.440583434248706,4284
101.52000000000001,135.2149,137.0723,35.94595109327333,2.1669605418654645,15.870534732957141,4284
111.77090000000001,133.6388,132.8557,34.83443430271259,2.2907497811851085,16.086978507786988,4284
119.8572,132.62560000000002,130.0859,30.31534938211992,2.2514050368592056,15.606995905362375,4284
121.76610000000001,132.4403,129.5963,28.485891082955437,2.0955275970503284,14.280158483364207,4284
122.9478,131.8992,129.9484,27.462226332910458,1.9879736819182534,12.72516944641602,4284
121.99050000000001,130.993,130.6436,27.287290260302466,1.8544948099151726,12.087306525442404,4284
127.59960000000001,129.8003,128.81470000000002,26.665672311794406,2.2038193914213027,12.612468589058864,4284
135.9659,128.9958,125.23570000000001,15.820427844720296,2.0797072774792915,11.474630517363014,4284
136.8102,128.9019,124.65830000000001,15.815592810893975,2.0270856888635977,10.718429974114576,4284
139.4139,129.406,122.58600000000001,14.939249873738628,2.107264577597415,10.329472590602002,4284
140.4335,129.62030000000001,122.3174,13.737779214632766,1.8395999320498777,9.094166110204922,4284
141.0606,130.0258,121.7826,13.457270437945626,1.6170758671123868,7.9595814739219275,4284
138.7022,131.04940000000002,121.56660000000001,16.628503094385817,1.9317245248732293,10.2691851887089,4284
140.02700000000002,132.2793,122.3067,13.256480339818618,2.0492172920405847,10.184401558756342,4284
139.9313,134.6577,124.2988,10.684408280761534,2.0274937015929764,10.673421127267552,4284
136.78040000000001,135.7945,127.01660000000001,13.222419439724204,1.9766814993825972,11.407888693355932,4284
131.02530000000002,136.2304,128.838,20.876011590100095,1.7660452542336327,11.788161688745367,4284
121.97080000000001,137.184,132.8249,25.26496679910739,1.6089574264102169,13.573114601667324,4284
119.8208,138.61700000000002,134.6685,25.681964242635313,1.7430177853350743,14.1578955975104,4284
117.7274,139.6488,136.74460000000002,25.4709538345151,1.7286580228612534,14.123553761004894,4284
115.0297,141.37210000000002,138.1736,24.450894010444703,1.6816782064346187,13.106435939644468,4284
113.37740000000001,143.9515,139.3296,23.2404597467434,1.6643160006427509,12.099213356247589,4284
117.929,147.3817,138.1857,20.246223326833075,1.9261892715932591,12.494487404851869,4284
121.4081,151.12030000000001,136.04760000000002,18.49036923346857,2.2011424102034227,12.379439980871362,4284
123.56160000000001,158.1468,133.90810000000002,17.851274616676445,2.647309910078125,11.699369828755463,4284
125.23840000000001,160.43030000000002,133.6944,17.329869169731133,2.690676849790397,11.969620237919072,4284
124.85180000000001,160.9991,135.3848,16.406012213819615,2.8070089401355482,12.726442117104,4284
123.6785,160.1574,137.0851,15.942971421601477,2.6040017741934705,12.787941898131882,4284
128.457,160.3492,134.2212,14.243389729976625,2.3373188400390204,11.77497645687672,4284
130.6998,160.9598,131.9728,12.984963610268649,2.277275556449012,10.5487752919473,4284
130.11100000000002,161.0795,129.0321,12.85273819075121,2.119853709575836,8.063985961669196,4284
128.5978,161.09650000000002,127.62270000000001,11.422829560139599,2.020244477778161,7.929183104834904,4284
128.5404,160.9472,127.03250000000001,10.97936099415631,1.8658542708366344,7.763945115081421,4284
127.6254,160.7247,126.8404,11.117862871973246,1.9090075720121489,7.9431560377473085,4284
127.70660000000001,160.776,127.30130000000001,10.866900038189318,1.8682141204897786,7.256205503567165,4284
128.0726,160.9887,127.182,10.373944728983412,1.8463944080295411,6.873345328149914,4284
127.76350000000001,160.64600000000002,126.9478,10.631611719302077,1.8688723872959057,7.191124749300347,4284
127.53800000000001,160.92360000000002,126.84530000000001,10.729937371671683,1.8701238033869643,7.50943192991315,4284
127.8888,161.0055,126.82770000000001,10.414030658683567,1.8130277852246472,7.37156785968897,4284
126.3562,128.94150000000002,137.67270000000002,17.643908908175703,2.3674200620071955,13.38610379124536,4284
126.2549,128.8947,137.8052,17.657308005185833,2.3599601500874505,13.514712463089927,4284
126.2214,128.9403,137.7433,17.629401068669317,2.397610458352063,13.505872985853172,4284
126.11940000000001,128.86270000000002,137.9425,17.39191029300686,2.3693561804836545,13.2367440766226,4284
125.36,128.6664,138.6097,16.350247704545676,2.124125947300997,11.41697709159486,4284
123.7104,128.73860000000002,139.4564,16.23904959780586,1.674774623642201,9.802759766514615,4284
125.0357,128.1583,139.83450000000002,16.358026332965707,1.7244828529158094,10.48134102822708,4284
132.2252,127.1503,135.3682,15.516729196580114,2.6008286967811856,13.172107984677298,4284
131.7373,126.83680000000001,135.6331,15.383331521812881,2.6481249517340575,13.444027833577172,4284
122.60780000000001,126.48060000000001,139.38750000000002,18.947711713027452,1.9753540543404473,12.314793694983209,4284
111.4038,126.3645,141.7313,17.192194320679377,1.758931422767659,10.025612216219066,4284
112.2857,126.9332,142.9845,23.6548996089605,1.9468789792900383,11.128659386916368,4284
126.54700000000001,126.42320000000001,142.83010000000002,21.072626580471606,2.077715514693814,12.13912822199342,4284
132.8879,126.55120000000001,142.13230000000001,15.85940520921265,1.9169711943579724,11.017358880875104,4284
132.65290000000002,126.49050000000001,143.7458,15.952241898554519,1.6463625815709833,10.75430064485831,4284
138.6303,126.57780000000001,143.761,14.013508551037388,2.0419958765869786,12.722479278819945,4284
147.00920000000002,128.3125,132.92170000000002,12.019996479200534,2.6584288122873936,15.601024617312625,4284
148.994,128.6005,132.40800000000002,9.855220139601121,2.7139085743627023,15.410098507147723,4284
153.8684,130.1818,124.0583,5.259494409161378,3.1521974493991505,14.720356690990856,4284
149.1585,128.3809,137.5788,6.970349901547172,2.724447685312356,16.447820237344583,4284
151.18040000000002,128.2637,131.97650000000002,3.916791523683352,2.7249517995739336,13.561812111587276,4284
149.0747,129.791,125.1774,9.373820987729605,2.528461785354941,12.14435380084096,4284
141.0299,130.2946,125.3921,14.91404727061044,2.5011618979987635,13.263610277371685,4284
