Kode_Warna,L,a,b,R_preview,G_preview,B_preview
1837,50,159,72,2,35,131
146,154,184,134,236,99,138
1826,198,138,167,231,183,120
1889,52,167,150,102,10,19
1879,143,73,169,15,155,56
1819,170,118,110,120,169,194
1830,208,118,209,223,205,14
4284,100,193,137,183,5,80
1931,164,167,198,240,125,8
A92,154,177,145,229,106,118
5217,163,110,103,74,166,198
1292,155,184,168,246,98,79
1920,40,127,125,35,40,44
1825,187,69,181,80,205,75
5358,175,140,199,217,157,15
1932,153,182,195,245,97,13
1915,63,175,117,115,8,77
5207,150,128,126,139,142,146
1894,89,185,170,167,9,16
1893,83,185,168,159,0,15
